codigo_ibge,municipio,latitude,longitude,bioma_predominante,corede,regiao_funcional
4300034,Aceguá,-31.8665,-54.1615,Pampa,Campanha,RF6
4300109,Agudo,-29.6447,-53.2515,Mata Atlântica,Central,RF8
4300208,Ajuricaba,-28.2342,-53.7757,Mata Atlântica,Noroeste Colonial,RF7
4300307,Alecrim,-27.6579,-54.7649,Mata Atlântica,Fronteira Noroeste,RF7
4300406,Alegrete,-29.7902,-55.7949,Pampa,Fronteira Oeste,RF6
4300455,Alegria,-27.8345,-54.0557,Mata Atlântica,Fronteira Noroeste,RF7
4300471,Almirante Tamandaré do Sul,-28.1149,-52.9142,Pampa,Produção,RF9
4300505,Alpestre,-27.2502,-53.0341,Mata Atlântica,Médio Alto Uruguai,RF9
4300554,Alto Alegre,-28.7769,-52.9893,Mata Atlântica,Alto da Serra do Botucaraí,RF9
4300570,Alto Feliz,-29.3919,-51.3123,Mata Atlântica,Vale do Caí,RF1
4300604,Alvorada,-29.9914,-51.0809,Pampa,Metropolitano Delta do Jacuí,RF1
4300638,Amaral Ferrador,-30.8756,-52.2509,Pampa,Sul,RF5
4300646,Ametista do Sul,-27.3607,-53.183,Mata Atlântica,Médio Alto Uruguai,RF9
4300661,André da Rocha,-28.6283,-51.5797,Mata Atlântica,Campos de Cima da Serra,RF3
4300703,Anta Gorda,-28.9698,-52.0102,Mata Atlântica,Vale do Taquari,RF2
4300802,Antônio Prado,-28.8565,-51.2883,Mata Atlântica,Serra,RF3
4300851,Arambaré,-30.9092,-51.5046,Pampa,Centro-Sul,RF1
4300877,Araricá,-29.6168,-50.9291,Mata Atlântica,Vale do Rio dos Sinos,RF1
4300901,Aratiba,-27.3978,-52.2975,Mata Atlântica,Norte,RF9
4301305,Arroio Grande,-32.2327,-53.0862,Pampa,Sul,RF5
4301008,Arroio do Meio,-29.4014,-51.9557,Mata Atlântica,Vale do Taquari,RF2
4301073,Arroio do Padre,-31.4389,-52.4246,Pampa,Sul,RF5
4301057,Arroio do Sal,-29.5439,-49.8895,Mata Atlântica,Litoral,RF4
4301206,Arroio do Tigre,-29.3348,-53.0966,Mata Atlântica,Vale do Rio Pardo,RF2
4301107,Arroio dos Ratos,-30.0875,-51.7275,Pampa,Centro-Sul,RF1
4301404,Arvorezinha,-28.8737,-52.1781,Mata Atlântica,Vale do Taquari,RF2
